study_id,project_name,study_phase,protocol_version,designation,variant_id,model_id,level_factor,protocol_id,feature,reason,ref_value,var_value,diff,tau,ref_run_id,var_run_id
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,1,P00_canonical,first_isi,exceeds,16.350000000008365,15.200000000007776,1.1500000000005883,0.5,r-5f0a94c66ff17cd98a0a,r-56eb26d40d67d8d07726
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,1,P00_canonical,mean_frequency,exceeds,70.3446889760081,75.81501137227629,5.4703223962681875,3.517234448800405,r-5f0a94c66ff17cd98a0a,r-56eb26d40d67d8d07726
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,1,P04_step_2x,burst_count,definedness,,1.0,,inf,r-66b1007575e04915ac55,r-b1b304cdfe4a52835b8a
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,1,P04_step_2x,firing_regime,categorical,single_spike,tonic,,,r-66b1007575e04915ac55,r-b1b304cdfe4a52835b8a
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,1,P04_step_2x,first_isi,definedness,,18.629999999983056,,inf,r-66b1007575e04915ac55,r-b1b304cdfe4a52835b8a
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,1,P04_step_2x,mean_frequency,definedness,,55.634542869571334,,inf,r-66b1007575e04915ac55,r-b1b304cdfe4a52835b8a
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,2,P00_canonical,first_isi,exceeds,16.290000000008334,15.13000000000774,1.1600000000005934,0.5,r-d4235ef154cdc2eeb44c,r-e97f30cfb2df0a7c4cb3
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,2,P00_canonical,mean_frequency,exceeds,70.67851373185125,76.19462283664144,5.516109104790189,3.517234448800405,r-d4235ef154cdc2eeb44c,r-e97f30cfb2df0a7c4cb3
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,2,P04_step_2x,burst_count,definedness,,1.0,,inf,r-8d6f46142acd4ec898a7,r-e2a1a8be0d08550e99d9
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,2,P04_step_2x,firing_regime,categorical,single_spike,tonic,,,r-8d6f46142acd4ec898a7,r-e2a1a8be0d08550e99d9
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,2,P04_step_2x,first_isi,definedness,,18.589999999983092,,inf,r-8d6f46142acd4ec898a7,r-e2a1a8be0d08550e99d9
neuron_model_behavioral_validation,Neuraxis,development_pilot,PILOT2_PROTOCOL,Exploratory development data; second development iteration informed by Pilot 1; not independent confirmation; never pooled with the confirmatory held-out estimate,m-scale_conductance-f937b97f50,nml2_hh_example,2,P04_step_2x,mean_frequency,definedness,,55.74711457070939,,inf,r-8d6f46142acd4ec898a7,r-e2a1a8be0d08550e99d9
